Program Effort Data

Country	      setting  effort     change
Bolivia            46       0        1.0
Brazil          74.05       0       10.0
Chile              89      16       29.0
Colombia           77      16       25.0
CostaRica        84.5   21.07       29.0
Cuba               89      15       40.0
DominicanRep    68.03      14       21.0
Ecuador            70       6        0.0
ElSalvador         60      13       13.0
Guatemala          55       9        4.0
Haiti              35       3        0.0
Honduras         51.2       7        7.0
Jamaica            87      23       21.0
Mexico             83     4.9        9.0
Nicaragua          68       0        7.0
Panama             84      19       22.0
Paraguay           74     3.0        6.0
Peru               73       0        2.0
TrinidadTobago     84      15       29.0
Venezuela          91       7       11.0
